Time(s),Temperature
0,26.58
5,25.07
10,24.45
15,24.28
20,24.25
25,24.28
30,24.25
36,24.28
41,24.25
46,24.25
51,24.21
56,24.18
61,24.25
66,24.25
71,24.25
77,24.25
82,24.25
87,24.25
92,24.25
97,24.28
102,24.28
107,24.28
112,24.28
117,24.28
123,24.28
128,24.31
133,24.28
138,24.28
143,24.31
148,24.31
153,24.31
158,24.31
164,24.31
169,24.31
174,24.31
179,24.35
184,24.31
189,24.35
194,24.35
199,24.35
204,24.38
210,24.35
215,24.35
220,24.35
225,24.35
230,24.38
235,24.38
240,24.35
245,24.38
251,24.35
256,24.38
261,24.38
266,24.38
271,24.38
276,24.42
281,24.42
286,24.42
291,24.42
297,24.42
302,24.42
307,24.42
